time_s,left_tick,right_tick
28.59125948,10775551,11174203
28.593428135,10775551,11174203
28.667872668,10775551,11174203
28.74328065,10775551,11174203
28.744811535,10775551,11174203
28.793359042,10775551,11174203
28.847500563,10776268,11174055
28.907487154000002,10777238,11173851
28.948940039,10778275,11173636
29.012064696,10779343,11173412
29.052079201,10780397,11173177
29.107797861,10781433,11172932
29.15156436,10782441,11172668
29.207803965,10783427,11172393
29.249317408,10784387,11172104
29.307834864,10785343,11171803
29.35222745,10786307,11171491
29.411476851,10787277,11171166
29.453406334,10788244,11170828
29.507351637,10789200,11170480
29.551262856,10790139,11170128
29.612164259,10791089,11169772
29.652114869000002,10792051,11169421
29.707704306,10793021,11169073
29.752153159,10793999,11168722
29.807542801,10794973,11168370
29.849451781,10795938,11168004
29.907582522,10796919,11167622
29.950889826,10797913,11167239
30.007541895,10798911,11166848
30.052606583,10799917,11166455
30.10786438,10800925,11166059
30.149288416,10801923,11165651
30.207562209,10802932,11165236
30.251456738,10803948,11164820
30.307360173,10804969,11164395
30.352133274,10805996,11163958
30.407546044,10807030,11163505
30.448599577,10808062,11163040
30.513307572,10809102,11162565
30.551454783,10810140,11162077
30.608599186,10811181,11161577
30.651966095,10812228,11161069
30.712597132,10813284,11160548
30.751680136,10814343,11160016
30.807598114,10815404,11159471
30.851562739,10816462,11158914
30.912166119,10817521,11158335
30.952764035,10818578,11157746
31.011410952,10819638,11157153
31.051477433,10820708,11156551
31.111848116,10821785,11155944
31.151537419,10822861,11155321
31.208538771,10823939,11154680
31.251021862,10825017,11154031
31.309430838,10826099,11153389
31.351685286,10827187,11152744
31.411761046,10828285,11152081
31.451652289,10829383,11151408
31.5077281,10830484,11150724
31.550779581,10831585,11150035
31.607203961,10832689,11149340
31.652287245,10833791,11148636
31.707768441,10834893,11147914
31.748996973,10835995,11147194
31.807536841,10837098,11146478
31.851150513,10838211,11145758
31.912899018,10839334,11145032
31.952134133,10840457,11144293
32.000003338,10841581,11143537
32.053817749,10842705,11142767
32.113375664,10843828,11141989
32.150921345,10844948,11141219
32.207182885,10846068,11140456
32.252102137,10847194,11139682
32.311821938,10848334,11138895
32.351518154,10849476,11138103
32.40752101,10850619,11137322
32.451294661,10851755,11136531
32.513708115,10852895,11135719
32.552099944,10854037,11134897
32.607775212,10855184,11134056
32.651687146,10856328,11133215
32.712579489,10857451,11132373
32.751609326,10858567,11131515
32.807717324,10859717,11130651
