time_s,linear_mps,angular_radps
38.157799721,0.0,-0.45
38.173977852,0.0,-0.45
38.195172549,0.0,-0.45
38.213828087,0.0,-0.45
38.233952761,0.0,-0.45
38.253738642,0.0,-0.45
38.27406621,0.0,-0.45
38.29399848,0.0,-0.45
38.314294577,0.0,-0.45
38.333956004,0.0,-0.45
38.354179383,0.0,-0.45
38.373917342,0.0,-0.45
38.393811226,0.0,-0.45
38.413981438,0.0,-0.45
38.434012413,0.0,-0.45
38.45391655,0.0,-0.45
38.474083424,0.0,-0.45
38.493969202,0.0,-0.45
38.513887406,0.0,-0.45
38.533863783,0.0,-0.45
38.553952933,0.0,-0.45
38.574048281,0.0,-0.45
38.593898297,0.0,-0.45
38.613857031,0.0,-0.45
38.634055853,0.0,-0.45
38.653955698,0.0,-0.45
38.673969269,0.0,-0.45
38.693991423,0.0,-0.45
38.713880062,0.0,-0.45
38.733994723,0.0,-0.45
38.754182577,0.0,-0.45
38.773990631,0.0,-0.45
38.794890404,0.0,-0.45
38.814134121,0.0,-0.45
38.834428788,0.0,-0.45
38.854019881,0.0,-0.45
38.87415576,0.0,-0.45
38.89394784,0.0,-0.45
38.913905859,0.0,-0.45
38.934215546,0.0,-0.45
38.956319094,0.0,-0.45
38.97396493,0.0,-0.45
38.993949414,0.0,-0.45
39.014029026,0.0,-0.45
39.034133435,0.0,-0.45
39.053997755,0.0,-0.45
39.074033261,0.0,-0.45
39.093979597,0.0,-0.45
39.114339114,0.0,-0.45
39.135149241,0.0,-0.45
39.153851509,0.0,-0.45
39.174046994,0.0,-0.45
39.194039107,0.0,-0.45
39.213905096,0.0,-0.45
39.234004498,0.0,-0.45
39.254067898,0.0,-0.45
39.274082423,0.0,-0.45
39.294101477,0.0,-0.45
39.313918829,0.0,-0.45
39.334090472,0.0,-0.45
39.353963614,0.0,-0.45
39.373925686,0.0,-0.45
39.394261837,0.0,-0.45
39.413949967,0.0,-0.45
39.43407178,0.0,-0.45
39.454363585,0.0,-0.45
39.474062682,0.0,-0.45
39.494181872,0.0,-0.45
39.51405406,0.0,-0.45
39.533963442,0.0,-0.45
39.554830313,0.0,-0.45
39.573945523,0.0,-0.45
39.593983412,0.0,-0.45
39.613725186,0.0,-0.45
39.634343624,0.0,-0.45
39.654370308,0.0,-0.45
39.67381382,0.0,-0.45
39.694056034,0.0,-0.45
39.713851691,0.0,-0.45
39.733939648,0.0,-0.45
39.755832434,0.0,-0.45
39.774082899,0.0,-0.45
39.794081688,0.0,-0.45
39.813788653,0.0,-0.45
39.834190846,0.0,-0.45
39.854168654,0.0,-0.45
39.87496543,0.0,-0.45
39.894041539,0.0,-0.45
39.91400671,0.0,-0.45
39.933917761000004,0.0,-0.45
39.954180956,0.0,-0.45
39.976279974,0.0,-0.45
39.995062113,0.0,-0.45
40.014052868,0.0,-0.45
40.034118891,0.0,-0.45
40.054019928,0.0,-0.45
40.074122429,0.0,-0.45
40.094012022,0.0,-0.45
40.114351511,0.0,-0.45
40.13411212,0.0,-0.45
40.153973103,0.0,-0.45
40.174042702,0.0,-0.45
40.194110871,0.0,-0.45
40.213886738,0.0,-0.45
40.234133959,0.0,-0.45
40.253916979,0.0,-0.45
40.274121046,0.0,-0.45
40.293989659,0.0,-0.45
40.314094305,0.0,-0.45
40.333945036,0.0,-0.45
40.353953839,0.0,-0.45
40.373981238,0.0,-0.45
40.394040108,0.0,-0.45
40.413931609,0.0,-0.45
40.433990002,0.0,-0.45
40.453927517,0.0,-0.45
40.473744154,0.0,-0.45
40.494045973,0.0,-0.45
40.513893605,0.0,-0.45
40.533896208,0.0,-0.45
40.554100037,0.0,-0.45
40.573986054,0.0,-0.45
40.59498477,0.0,-0.45
